name,mass_kg,mean_radius_km,position_x_km,position_y_km,position_z_km,velocity_x_km,velocity_y_km,velocity_z_km
Hera,9.73793e+17,4.880332e+01,326379072.2991298,208208919.78292775,-35691401.02332012,-9.001981892707766,16.527400164998433,-0.5449904718366727
Klymene,3.26939e+17,3.391949e+01,-129755438.9916326,-530710603.6578555,-15002521.42595832,13.872741028290372,-3.2601538388926206,-0.5708997256938452
Artemis,2.37940e+17,3.051050e+01,158232175.46512717,-247311251.87357855,105403540.8091929,20.088056051569577,8.31991631604563,-2.048435066032806
Dione,9.34258e+17,4.813371e+01,-502156818.12474203,125108250.88764067,40251979.081882745,-5.61232356125808,-14.180248474840702,-0.1288257343101231
Camilla,2.32523e+18,6.523030e+01,-48126306.90356717,-540907975.0123255,95644973.06263165,14.95955862489595,-1.89939269953615,0.007014727226585298
Hecuba,6.89393e+17,4.349600e+01,353944758.54170346,367898153.0196368,31166999.611236468,-11.563702015126486,10.506715974071755,0.6166679763390949
Felicitas,1.73168e+17,2.744412e+01,327520523.49168426,-48741773.7696167,-9169213.99625959,-2.1403918909164017,21.412080147683863,2.963783790458348
Lydia,8.48138e+17,4.660681e+01,-267835376.08331805,-319840429.2276712,5372192.620069284,14.272102327847373,-10.223193361674094,-1.8310489212066392
Ate,5.01726e+17,3.912455e+01,171569272.67647666,-392017487.53306127,-7977328.310499038,15.243200201748625,6.609222532972094,1.3996440904030434
Iphigenia,5.81389e+16,1.907433e+01,-220491925.59904906,-299207627.656835,-16879326.20213061,16.312644533108088,-9.09888096989509,0.10406166844242469
Amalthea,3.18029e+17,3.360852e+01,-277783522.91343147,-166417541.8838746,28525370.17895499,10.652687100364355,-18.158288489279755,0.10686733445775731
Kassandra,3.60136e+17,3.503074e+01,249932942.45880336,-366573195.27147645,24746909.118894286,14.202376438384164,7.937579935122716,-0.9903978923089569
Thyra,9.47254e+17,4.835589e+01,33026213.89357805,-389367641.04207194,-45190989.826175675,16.641079275589494,3.893164961046184,3.1501616834417163
Sirona,9.21439e+17,4.791256e+01,317087930.8705856,292900902.89752966,-9762153.758525517,-13.15921274996639,10.956382577077335,1.0353134843130223
Lomia,5.45088e+17,4.022068e+01,-372159785.907686,248235691.93924093,46079197.95291031,-9.899848635995767,-13.401809461500692,-4.009333408372455
Peitho,1.85552e+17,2.808338e+01,-231529530.26620284,-346450544.26579803,-8110275.323674249,12.85677741998078,-10.135426411285213,-2.2229981339090203
Althaea,4.19244e+17,3.685101e+01,-282763740.61935866,280777169.0418248,-37639657.16253086,-13.518167529246828,-11.678130611364612,0.5223790373776105
Lachesis,9.08797e+17,4.769242e+01,481920899.1066399,40892008.07656376,23852587.257987075,-0.9400725066587284,16.11289558166396,1.8179957079897713
Hermione,1.53627e+18,5.681321e+01,212552149.4678087,423032717.982662,-10850034.04268982,-14.635329240746303,9.207761557988208,2.2141693622282865
Gerda,1.05795e+18,5.017061e+01,488315999.04272264,-56226156.204106174,1209858.777648346,1.64665407018383,16.188216813340176,-0.46452349472396615
Brunhild,1.75577e+17,2.757080e+01,-119384519.48054653,341793832.97559136,13107917.266186245,-19.270613252255032,-5.272979815195982,-2.0720119135016373
Alkeste,6.25845e+17,4.211622e+01,-362494790.31393045,-93443884.60420035,2065654.407044502,5.954298269820887,-18.310653488672436,0.981342089271177
Liberatrix,1.85552e+17,2.808338e+01,-258531469.12361366,354438725.2998723,-24499283.16747826,-13.13755660522338,-10.341636200135033,1.0267571891157539
Velleda,1.19252e+17,2.423535e+01,273167963.73414534,194210148.06892055,3515435.9157751002,-10.832605305118584,17.604632383829,1.0458429030465521
Johanna,3.18029e+17,3.360852e+01,22351929.23999772,387520543.5177853,46168648.69894222,-18.839980102938974,0.21919104678559376,1.4524654731546265
Nemesis,1.02912e+18,4.971064e+01,-373907423.02713215,227817474.66502282,45614345.26834332,-10.118894730943854,-13.319679303655503,0.7377857294104216
Antigone,2.59697e+18,6.767829e+01,-378229624.6406129,135224650.3649294,35904290.89633326,-2.154268200015198,-18.278220939360942,3.1864813159781646
Elektra,1.41406e+18,5.526490e+01,-345704177.5492231,-374486908.1749051,211903909.32139945,11.37509448807034,-8.215705730202053,0.12506600682431485
Vala,4.00375e+16,1.684416e+01,-66686305.824027725,-335118943.6416403,-6586197.098362576,19.69150378245107,-4.591657359442489,-1.7243679316933658
Aethra,1.78019e+17,2.769806e+01,-226812853.1660594,-78360859.15725908,-96251142.65239188,1.6574780546752264,-25.96404186585308,3.1751097286884042
Cyrene,6.34551e+17,4.231062e+01,390788058.245417,-208897681.8525599,12427759.976632638,10.067241515325565,14.281976145736852,2.2049170296612295
Sophrosyne,1.78019e+17,2.769806e+01,205202162.83644006,-349951605.6617387,-59848783.48493551,14.138954009167131,9.711001693669779,2.6298987056592242
Hertha,4.36985e+17,3.736366e+01,-353611048.7094972,259587490.159769,6086509.593176346,-9.183658103970812,-12.441711631940711,-0.5843158917403485
Austria,5.97677e+16,1.925083e+01,-121844786.8155527,340504243.9167757,-59454930.06703028,-17.55719396904224,-5.269503550329972,0.5354482682899909
Meliboea,4.19244e+17,3.685101e+01,-225033140.54289407,-350398088.8487985,56611765.07343219,17.244804592907975,-6.4371571566656165,2.9965782170514688
Tolosa,1.63858e+17,2.694321e+01,236789881.94246748,270799599.2516087,-2174506.0468003126,-12.327127199323595,14.928879549611597,1.0433453131716657
Juewa,6.25845e+17,4.211622e+01,-11192787.8109251,383323585.17207694,73672596.53682122,-18.671525349631693,-3.509663657909783,-0.5439349900905114
Siwa,3.60136e+17,3.503074e+01,115286854.8612727,438221535.7827938,-13442986.549574042,-14.529179418724642,7.005969510033858,0.6556677597822838
Lumen,3.96704e+17,3.617840e+01,-232222767.98643523,-377971419.49320847,-92171374.57869522,14.65315178133252,-6.104650414951382,1.0626469059895982
Polana,2.03454e+16,1.344155e+01,-63948638.93993789,379090914.80258065,3127481.242291615,-17.25404198700892,-5.047664482024908,-0.7015646348069698
Adria,1.08260e+17,2.346656e+01,425460001.58293843,-56684904.99871832,28463130.451480307,3.0227471822703182,16.61830122611198,3.2814797361602213
Vibilia,6.17258e+17,4.192271e+01,-272108101.368487,323328258.98527175,28645304.6707629,-15.176133829455011,-7.798450351352501,1.090537917381498
Adeona,3.85893e+17,3.584671e+01,221000178.1707956,-395879666.42243975,-67221759.825071,13.422953997945719,7.756460018658459,-2.567367159432269
Lucina,3.36099e+17,3.423335e+01,406283559.85298365,-50172293.211273246,-95210270.2080202,3.0588703380738713,17.204608020170287,-0.3122339105302838
Protogeneia,2.48009e+17,3.093495e+01,-467214476.5206328,107164825.99803734,-15995883.318553448,-3.712429424741019,-16.026532787274267,0.07949232452847277
Gallia,1.19803e+18,5.229370e+01,-45091353.389542356,339270641.2189316,-119754168.71359347,-19.68269442606686,2.03704127027032,4.493661317142828
Medusa,2.00663e+16,1.337979e+01,55708600.88708719,-333802165.3252866,4813959.918064586,18.946761665152554,4.162099369974589,-0.17006467458154528
Nuwa,3.00931e+17,3.299509e+01,-7403076.728660659,-441170319.4280553,15021775.228048302,17.332953212602852,1.8703658693710168,0.23317692608801385
Abundantia,1.08260e+17,2.346656e+01,234701725.54310024,-317422280.0059646,-44473812.17337134,14.779335155654849,10.357941959008285,-0.1450997637968715
Atala,4.07818e+17,3.651315e+01,-231534531.038924,-440230895.3372181,-40036507.51694969,13.407135000246976,-7.71389019807852,-3.1268175099845554
